,item
0,BBG.AX
1,SFH.AX
2,ORL.AX
3,RCG.AX
4,BMH.AX
5,MTU.AX
6,GPH.AX
7,PRA.AX
8,CBS.AX
9,VELCP.AX
10,VTX.AX
11,WVL.AX
12,WRR.AX
13,NHH.AX
14,NDO.AX
15,KIK.AX
16,BMP.AX
17,ZYL.AX
18,WNS.AX
19,WDS.AX
20,WCC.AX
21,PBD.AX
22,NFE.AX
23,PNA.AX
24,ZRL.AX
25,SDL.AX
26,VIP.AX
27,VIE.AX
28,NOE.AX
29,MKO.AX
30,KRS.AX
31,KNH.AX
32,ORS.AX
33,3DM.AX
34,IIN.AX
35,WTR.AX
36,WFD.AX
37,WCP.AX
38,WBAPA.AX
39,VELIN.AX
40,UUL.AX
41,USG.AX
42,TPI.AX
43,TGS.AX
44,KRA.AX
45,SIP.AX
46,RBX.AX
47,PAY.AX
48,NSP.AX
49,NOD.AX
50,NIO.AX
51,MYN.AX
52,MQA.AX
53,MOL.AX
54,MIG.AX
55,MDD.AX
56,LCE.AX
57,IPP.AX
58,HFA.AX
59,GCS.AX
60,GBA.AX
61,DVI.AX
62,DUO.AX
63,DUE.AX
64,BTT.AX
65,BKN.AX
66,ASZ.AX
67,ZEU.AX
68,ZAM.AX
69,YHL.AX
70,VIA.AX
71,HDX.AX
72,DRA.AX
73,DGX.AX
74,WDE.AX
75,SEH.AX
76,RCU.AX
77,MTN.AX
78,FET.AX
79,ELM.AX
80,EGP.AX
81,CNX.AX
82,VGI.AX
83,PFL.AX
84,FDC.AX
85,AFJ.AX
86,TOX.AX
87,RGX.AX
88,TWH.AX
89,REC.AX
90,PRY.AX
91,PHA.AX
92,HOM.AX
93,HHL.AX
94,ZYB.AX
95,SMA.AX
96,RWH.AX
97,RUM.AX
98,JKL.AX
99,GJT.AX
100,SHR.AX
101,AJA.AX
102,KBU.AX
103,KRL.AX
104,KKO.AX
105,KFG.AX
106,KBL.AX
107,WOF.AX
108,CRX.AX
109,VTM.AX
110,VSC.AX
111,UML.AX
112,TTE.AX
113,TMP.AX
114,SYP.AX
115,SRX.AX
116,BZL.AX
117,SMM.AX
118,SKS.AX
119,PDM.AX
120,MOU.AX
121,MOZ.AX
122,MLB.AX
123,MBO.AX
124,NRT.AX
125,APN.AX
126,RNI.AX
127,NWZ.AX
128,NVI.AX
129,NRR.AX
130,NMI.AX
131,TOF.AX
132,OKJ.AX
133,LGO.AX
134,TIX.AX
135,SSN.AX
136,PSF.AX
137,OTI.AX
138,OPG.AX
139,ONC.AX
140,OGH.AX
141,OEG.AX
142,ODN.AX
143,MTA.AX
144,IOF.AX
145,EGO.AX
146,CMT.AX
147,AOK.AX
148,AOC.AX
149,ORX.AX
150,AYD.AX
151,IOG.AX
152,ORGN.AX
153,OVR.AX
154,OTC.AX
155,OZB.AX
156,QUR.AX
157,QST.AX
158,QSS.AX
159,IND.AX
160,QRX.AX
161,BOQKOC-A
162,QBL.AX
163,QMN.AX
164,QUE.AX
165,RCR.AX
166,RAF.AX
167,CAS.AX
168,BDR.AX
169,AXZ.AX
170,WPG.AX
171,URI.AX
172,TPR.AX
173,SRQ.AX
174,SPI.AX
175,SGZ.AX
176,SBU.AX
177,RVA.AX
178,USA.AX
179,ENU.AX
180,EMF.AX
181,BIG.AX
182,BCS.AX
183,VPC.AX
